,Table,Treat,Cv,Stem,Days_to_Term,Term_for_Bc_,flw,jar,pretreat,post,open,Bc_F,Bc_L,Day,Bc_F_per,tf_BC_F,Day2,Day3,Day4,Day5,Bc_F.per,Bc_F.logit.per
1,1,1,V,1,4,1,1,1,1,1,2,5,0,1,0.14,-1.815289967,1,1,1,1,14,-1.815289967
2,1,1,V,1,4,1,1,1,1,1,2,6,0,2,0.38,-0.489548225,4,8,16,32,38,-0.489548225
3,1,1,V,1,4,1,1,1,1,1,2,7,0,3,0.63,0.532216814,9,27,81,243,63,0.532216814
4,1,1,V,1,4,1,1,1,1,1,2,8,0,4,0.88,1.992430165,16,64,256,1024,88,1.992430165
5,1,1,V,2,4,1,2,1,1,1,1,3,0,1,0.035,-3.31678004,1,1,1,1,3.5,-3.31678004
6,1,1,V,2,4,1,2,1,1,1,1,4,0,2,0.09,-2.313634929,4,8,16,32,9,-2.313634929
7,1,1,V,2,4,1,2,1,1,1,1,5,0,3,0.14,-1.815289967,9,27,81,243,14,-1.815289967
8,1,1,V,2,4,1,2,1,1,1,1,7,0,4,0.63,0.532216814,16,64,256,1024,63,0.532216814
9,1,1,V,3,4,1,3,1,1,1,1,3,0,1,0.035,-3.31678004,1,1,1,1,3.5,-3.31678004
10,1,1,V,3,4,1,3,1,1,1,1,5,0,2,0.14,-1.815289967,4,8,16,32,14,-1.815289967
11,1,1,V,3,4,1,3,1,1,1,1,6,0,3,0.38,-0.489548225,9,27,81,243,38,-0.489548225
12,1,1,V,3,4,1,3,1,1,1,2,8,0,4,0.88,1.992430165,16,64,256,1024,88,1.992430165
13,1,2,C,1,7,1,4,2,2,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
14,1,2,C,1,7,1,4,2,2,1,1,5,0,2,0.14,-1.815289967,4,8,16,32,14,-1.815289967
15,1,2,C,1,7,1,4,2,2,1,1,5,0,3,0.14,-1.815289967,9,27,81,243,14,-1.815289967
16,1,2,C,1,7,1,4,2,2,1,1,6,1,4,0.38,-0.489548225,16,64,256,1024,38,-0.489548225
17,1,2,C,1,7,1,4,2,2,1,1,6,1,5,0.38,-0.489548225,25,125,625,3125,38,-0.489548225
18,1,2,C,1,7,1,4,2,2,1,1,6,1,6,0.38,-0.489548225,36,216,1296,7776,38,-0.489548225
19,1,2,C,1,7,1,4,2,2,1,1,8,1,7,0.88,1.992430165,49,343,2401,16807,88,1.992430165
20,1,2,C,2,5,1,5,2,2,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
21,1,2,C,2,5,1,5,2,2,1,1,5,0,2,0.14,-1.815289967,4,8,16,32,14,-1.815289967
22,1,2,C,2,5,1,5,2,2,1,1,6,0,3,0.38,-0.489548225,9,27,81,243,38,-0.489548225
23,1,2,C,2,5,1,5,2,2,1,1,7,0,4,0.63,0.532216814,16,64,256,1024,63,0.532216814
24,1,2,C,2,5,1,5,2,2,1,1,7,0,5,0.63,0.532216814,25,125,625,3125,63,0.532216814
25,1,2,C,3,8,1,6,2,2,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
26,1,2,C,3,8,1,6,2,2,1,1,3,1,2,0.035,-3.31678004,4,8,16,32,3.5,-3.31678004
27,1,2,C,3,8,1,6,2,2,1,1,4,1,3,0.09,-2.313634929,9,27,81,243,9,-2.313634929
28,1,2,C,3,8,1,6,2,2,1,1,5,1,4,0.14,-1.815289967,16,64,256,1024,14,-1.815289967
29,1,2,C,3,8,1,6,2,2,1,1,6,1,5,0.38,-0.489548225,25,125,625,3125,38,-0.489548225
30,1,2,C,3,8,1,6,2,2,1,1,6,1,6,0.38,-0.489548225,36,216,1296,7776,38,-0.489548225
31,1,2,C,3,8,1,6,2,2,1,1,6,1,7,0.38,-0.489548225,49,343,2401,16807,38,-0.489548225
32,1,2,C,3,8,1,6,2,2,1,1,8,1,8,0.88,1.992430165,64,512,4096,32768,88,1.992430165
33,1,3,D,1,2,0,7,3,3,1,2,4,0,1,0.09,-2.313634929,1,1,1,1,9,-2.313634929
34,1,3,D,1,2,0,7,3,3,1,2,4,0,2,0.09,-2.313634929,4,8,16,32,9,-2.313634929
